Наименование сделки,Курс юаня,Курс $,Наименование,Количество заказанных позиций,Цена в юанях,Масса товара,Source File
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Вал карданный 56В-20-32200 Оригинал,1.0,13886.25,0.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Крестовина 56В-20-31110 OEM,8.0,243.0,0.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Планетарная пара редуктора среднего моста 56В-23-31300 Не доступен к заказу,1.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 56С-2316430 Оригинал,4.0,927.15,0.65,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Солнечная Шестерня 56В-22-32421 Оригинал,5.0,3749.55,2.46,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Полуось 56В-22-32410 Оригинал,2.0,11364.15,33.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сальник бортового редуктора заднего моста 56С-22-19460 Оригинал,14.0,2054.75,0.6,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Гидромотор вентилятора 708-7Р-00030 Не доступен к заказу,1.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Корпус тормозного фильтра в сборе 569-43-83911 Оригинал,2.0,3990.0,3.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Клапан тормозной системы 56D-43-37101 Оригинал,2.0,15225.0,11.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,гидроаккумулятор в сборе 721-32-10А21 Оригинал,3.0,12162.15,18.9,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Стеклоочиститель задний 56Е-54-23360 Оригинал,2.0,490.35,0.24,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Радиатор отопителя ND116420-7450 OEM,1.0,128.25,1.12,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Электромотор отопителя ND116360-0030 OEM,2.0,141.75,1.92,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Контроллер 7831-48-4108 Не доступен к заказу,1.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Пружина балансира 56В-50-12317 Оригинал,6.0,16619.4,45.9,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,РК гидроцилиндра руления 721-98-00720 OEM,6.0,375.0,0.5,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Коленвал в сборе 6151-35-1010 OEM,1.0,4185.0,130.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Распредвал 6150-41-1012 OEM,1.0,607.5,15.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Толкатель в сборе 6150-41-2302 OEM,12.0,348.0,0.51,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,ТНВД 6251-71-1120 REBULIT,1.0,4725.0,15.3,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Плкнжер в сборе ND094040-0270 OEM,2.0,742.5,2.2,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Крестовина заднего карданного вала 56D-20-11101 OEM,4.0,121.5,17.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Втулка 56D-22-27170 Оригинал,24.0,836.85,0.11,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня 56D-22-27160 Оригинал,4.0,6566.7,3.32,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник ведущей шестерни 418-22-16430 Не доступен к заказу,3.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник бортового редуктора 56D-22-22340 Оригинал,12.0,3097.5,5.28,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,56D-33-11510 диск Не доступен к заказу,3.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,56D-33-11251 диск Не доступен к заказу,2.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Водило БР 56D-27-12611 Оригинал,1.0,12795.3,23.8,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Корпус тормоза 56D-32-21211 Оригинал,1.0,35452.2,50.9,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сальник БР 56D-23-13461 Оригинал,18.0,3777.9,2.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Плавающее уплотнение 56D-33-00050 Оригинал,12.0,2245.95,0.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шайба 56D-27-12370 Оригинал,6.0,2195.55,0.2,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня редуктора 56D-23-16612 Оригинал,2.0,7122.15,5.65,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Фланец среднего редуктора 56D-23-16421 Оригинал,2.0,7198.8,4.5,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Винт 561-34-62140 Не доступен к заказу,3.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Фланец среднего редуктора 56D-23-16421 Оригинал,12.0,7198.8,4.5,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,721-32-10311 энергоаккумулятор Оригинал,1.0,28240.8,19.6,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кресло оператора 56В-57-11111 Не доступен к заказу,1.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Стеклоочиститель передний 56В-54-13230 Оригинал,1.0,1581.3,0.38,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подушка кузова 569-74-61511 Оригинал,12.0,2442.3,6.4,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Клапан управления подъемом 702-16-02133 Не доступен к заказу,2.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Датчик давления масла 08073-20515 OEM,2.0,13.5,0.047,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Комплект шатунных вкладышей 6210-32-3040 OEM,24.0,288.0,1.6,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Труба топливная 6218-71-5560 Оригинал,1.0,423.15,0.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Датчик (Датчик угла наклона) 7861-93-8100 Оригинал,4.0,5800.2,2.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Вал карданный 56В-20-11920 Оригинал,2.0,10412.85,14.33,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Клапан управления 17A-13-46101 Не доступен к заказу,8.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Втулка 711-20-12160 Оригинал,1.0,14833.35,0.47,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Фланец переднего редуктора 56В-27-11614 Не доступен к заказу,2.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,"Регулировочная прокладка 0,15 мм левая 56В-27-11980 Оригинал",3.0,161.7,0.02,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шайба переднего бортового редуктора 56В-27-12341 Оригинал,8.0,2074.8,0.35,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Электроклапан 56B-43-12402 OEM,4.0,12000.0,8.5,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,721-32-10313 энергоаккумулятор Оригинал,3.0,8845.2,19.81,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Клапан гидросистемы 56В-40-13702 Оригинал,1.0,37485.0,29.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Фланец вала сочленения 56C-46-13510 Оригинал,1.0,9711.45,7.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Труба охладителя 6245-11-9120 Оригинал,2.0,3455.55,2.6,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шайба упорная распредвала 6245-41-1130 Оригинал,1.0,371.7,0.2,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Трубка топливная 6245-71-6280 Оригинал,1.0,577.5,0.17,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,О-Кольцо форсунки 6219-71-1160 OEM,20.0,0.23,0.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Ремень приводной 6245-81-6360 OEM,6.0,641.54,0.2,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сердцевина радиатора 426-03-37550 Не доступен к заказу,4.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Крестовина в сборе 425-20-32610 OEM,1.0,478.5,7.452,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сальник 426-13-42710 Оригинал,2.0,919.8,0.03,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 714-08-19210 Оригинал,2.0,135.45,0.01,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Фланец 711-59-11861 Оригинал,1.0,9842.7,6.271,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 426-13-49110 Оригинал,2.0,948.15,1.9,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 426-13-49121 Оригинал,2.0,1927.8,1.91,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 14Х-14-19241 OEM,2.0,121.5,0.91,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Гайка 134-15-63260 Оригинал,1.0,1977.15,0.55,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,568-15-12850 КОЛЬЦО уплотнительное OEM,1.0,67.5,0.02,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Диск 712-82-12710 OEM,9.0,189.0,1.5,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня венечная 426-15-42612 Оригинал,1.0,10133.55,5.8,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сателлит 426-15-42431 Оригинал,5.0,1288.35,0.5,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня 426-15-42251 Оригинал,1.0,3381.0,2.4,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Уплотнение кольцевое 425-15-19270 Оригинал,6.0,1003.8,0.2,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Ступица 426-15-42271 Оригинал,1.0,10135.65,5.05,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Диск металлический 426-15-42721 Оригинал,7.0,1105.65,0.65,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня венечная 426-15-42633 Оригинал,1.0,22729.35,19.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 232-15-19230 Оригинал,1.0,549.15,0.03,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня венечная 426-15-42652 Оригинал,1.0,8870.4,6.7,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шайба упорная 426-15-42560 Оригинал,16.0,349.65,0.01,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сателлит 426-15-42421 Оригинал,4.0,1707.3,0.8,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня солнечная 426-15-42213 Оригинал,1.0,2709.0,1.7,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сателлит 426-15-42411 Оригинал,4.0,2137.8,1.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шайба упорная 561-15-32570 OEM,8.0,18.9,0.01,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 07018-12455 OEM,2.0,189.0,0.14,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сальник КПП 07012-50125 Оригинал,3.0,1251.6,0.14,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Вал 426-15-43322 Оригинал,1.0,22035.3,24.25,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Ступица 426-15-48692 Оригинал,1.0,18379.2,14.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 426-15-49310 Оригинал,1.0,3375.75,4.05,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Клапан ECMV 712-93-45202 Оригинал,6.0,9403.8,2.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Крестовина переднего карданного вала 56В-20-11910 OEM,4.0,478.5,7.362,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Насос системы охлаждения тормоза 705-51-12090 OEM,1.0,2295.0,10.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Дюрит гидросистемы 07260-27425 OEM,2.0,60.75,0.17,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Дюрит гидросистемы 07260-04732 OEM,2.0,60.75,0.17,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Насос вспомогательный 704-30-40140 Оригинал,1.0,20407.8,21.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Доукон бортового редуктора 425-33-00111 OEM,8.0,162.0,3.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Ступица 426-22-32330 OEM,1.0,17550.0,42.7,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Вал сателлита 426-22-32510 OEM,3.0,607.5,4.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Водило 426-22-32611 OEM,1.0,36450.0,118.13,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня солнечная 426-22-32421 OEM,1.0,4455.0,6.1,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Планетарная пара 426-22-31202 Оригинал,1.0,81091.5,96.5,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сальник центрального редуктора 426-22-31770 OEM,2.0,330.75,0.15,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник ведущей шестерни 425-22-31821 Не доступен к заказу,2.0,0.0,0.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник ведущей шестерни 428-22-11810 Оригинал,2.0,5012.7,17.5,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Вал дифференциала 426-22-31410 Оригинал,1.0,8219.4,8.25,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Втулка 426-22-31681 426-22-31681 Оригинал,4.0,993.3,0.28,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня дифференциала 426-22-31421 Оригинал,4.0,4224.15,1.87,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня дифференциала 426-22-31441 Оригинал,1.0,12572.7,8.47,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шайба 426-22-31530 426-22-31530 OEM,4.0,1080.0,0.7,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Втулка заднего балансира 426-46-32541 OEM,22.0,1440.0,0.78,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Манжет переднего балансира 426-46-32340 OEM,1.0,1360.0,0.15,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Дюрит гидросистемы 426-62-35380 OEM,1.0,60.75,0.99,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Уполотнение пальца 423-46-33320 Оригинал,10.0,304.5,0.12,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,"Регулировочная прокладка 0,5 мм 426-46-31870 Оригинал",8.0,63.0,0.05,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Палец сочленения верхний 426-46-31911 OEM,1.0,1485.0,28.3,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Электроклапан 42С-43-17600 Оригинал,2.0,7482.3,3.175,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Клапан колеса разгрузочный (ниппель) 09280-10020 OEM,10.0,330.75,0.12,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Электроклапан 20Y-60-11803 Оригинал,2.0,5752.95,2.481,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,426-N42-3812 палец OEM,12.0,1957.5,41.85,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,426-N42-3910 втулка стрелы OEM,12.0,1755.0,24.13,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,РК трансмиссии 426-15-05000 OEM,3.0,9180.0,1.9,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Крышка охладителя 6150-61-2125 OEM,1.0,464.0,2.53,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,О-кольцо форсунки 6219-71-1150 OEM,36.0,0.23,0.004,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Генератор 600-825-5221 OEM,2.0,1508.0,10.4,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Стартер 600-813-6633 OEM,2.0,945.0,17.0,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Дюрит радиатора нижний 421-03-42180 OEM,6.0,188.5,1.55,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 195-13-12711 Оригинал,2.0,1502.55,0.05,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 714-07-49650 Оригинал,2.0,822.15,1.92,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 714-07-49210 Оригинал,6.0,201.6,0.006,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 714-08-19230 Оригинал,6.0,206.85,0.01,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Диск 714-07-49741 Оригинал,13.0,226.8,0.08,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 714-10-19220 Оригинал,2.0,234.15,0.01,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 714-08-19210 Оригинал,2.0,135.45,0.01,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 714-12-39210 Оригинал,4.0,213.15,0.004,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 714-07-49470 Оригинал,2.0,1557.15,1.63,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Фильтр сетчатый 569-15-51732 OEM,2.0,88.0,0.2,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 714-07-49640 Оригинал,2.0,1923.6,1.64,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 714-07-49410 Оригинал,2.0,1451.1,0.95,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо уплотнительное 714-12-39230 Оригинал,12.0,202.65,0.01,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 714-07-49610 Оригинал,2.0,3137.4,3.6,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Подшипник 714-07-49661 Оригинал,2.0,1475.17,2.2,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Кольцо 07001-06225 OEM,2.0,11.6,0.022,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Комплект регулировочных прокладок 714-07-00330 Оригинал,1.0,1588.65,0.76,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Сальник КПП 56D-15-19810 Оригинал,8.0,764.62,0.08,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Фланец 714-07-44200 Оригинал,1.0,9799.65,6.6,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Дюрит трансмиссии 07260-05825 OEM,2.0,54.0,1.3,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Планетарная пара 421-22-41200 OEM,2.0,34400.0,42.6,Лист1(20)
"Order-4993, Festo DFPI-200-650-ND2P-E-NB3 Линейный привод 5092508",14.0,100.0,Шестерня дифференциала 421-22-31540 Оригинал,24.0,3598.35,1.2,Лист1(20)
